accuracy,precision,recall,f1,ARI,NMI,seed,method
0.2945,0.2940422403174395,0.2945,0.2926366845810293,0.005262653552611806,0.007145538904910064,0,Baseline K-Means
0.2955,0.2953362628307653,0.2955,0.29364845105191356,0.005609904212713027,0.007543848623503865,10,Baseline K-Means
0.297,0.29662298991082614,0.297,0.29503453092077575,0.005961567406388764,0.007902394418602403,42,Baseline K-Means
0.2955,0.2949945171704761,0.2955,0.29350966156754504,0.005520453922284243,0.007423436728665693,100,Baseline K-Means
0.2985,0.2983671028115222,0.2985,0.29557867049703057,0.006834050783514811,0.009012332887818063,999,Baseline K-Means
0.266,0.26845936386276453,0.266,0.2606015317824105,0.0007812709924808553,0.002479251399387862,0,Global-rule weighting
0.266,0.26849017914348217,0.266,0.26060856602842225,0.0007555388874483012,0.0024378549432632814,10,Global-rule weighting
0.266,0.26849017914348217,0.266,0.26060856602842225,0.0007555388874483012,0.002437854943263282,42,Global-rule weighting
0.266,0.26845936386276453,0.266,0.2606015317824105,0.0007812709924808553,0.002479251399387862,100,Global-rule weighting
0.266,0.26849017914348217,0.266,0.26060856602842225,0.0007555388874483012,0.0024378549432632814,999,Global-rule weighting
0.4415,0.4244199972178334,0.4415,0.4280125968939672,0.1762028702776657,0.2103283507999882,0,Weighting-only
0.4415,0.4244305824620681,0.4415,0.4280165455347098,0.1757626453482558,0.2097907199818949,10,Weighting-only
0.4425,0.42519273492238857,0.4425,0.4286356522570752,0.17778584568002873,0.21160473563834753,42,Weighting-only
0.4425,0.42535419565009075,0.4425,0.4288361530943141,0.17718510806518764,0.21123353611192738,100,Weighting-only
0.4425,0.42545419082842695,0.4425,0.4288774645698765,0.17772457486888105,0.21172605279995155,999,Weighting-only
0.262,0.2631508580834498,0.262,0.2539379020936446,-0.0004909200646853183,0.0013043295615446317,0,Pattern-only
0.262,0.2631508580834498,0.262,0.2539379020936446,-0.0004909200646853183,0.0013043295615446317,10,Pattern-only
0.262,0.2631508580834498,0.262,0.2539379020936446,-0.0004909200646853183,0.0013043295615446317,42,Pattern-only
0.262,0.2631508580834498,0.262,0.2539379020936446,-0.0004909200646853183,0.0013043295615446317,100,Pattern-only
0.262,0.2631508580834498,0.262,0.2539379020936446,-0.0004909200646853183,0.0013043295615446317,999,Pattern-only
0.3885,0.43096670336977544,0.3885,0.39617098186010163,0.10021891488918012,0.15106555253405277,0,Full Method
0.3905,0.42592422756254195,0.3905,0.39571471858891716,0.10348269038193857,0.15496147579941383,10,Full Method
0.3885,0.43096670336977544,0.3885,0.39617098186010163,0.10021891488918012,0.15106555253405277,42,Full Method
0.3885,0.43096670336977544,0.3885,0.39617098186010163,0.10021891488918012,0.15106555253405277,100,Full Method
0.3885,0.43096670336977544,0.3885,0.39617098186010163,0.10021891488918012,0.15106555253405277,999,Full Method
