accuracy,precision,recall,f1,ARI,NMI,seed,method,perm_id
0.2945,0.2940422403174395,0.2945,0.2926366845810293,0.005262653552611806,0.007145538904910064,0,Baseline equal-weight K-Means,
0.2955,0.2953362628307653,0.2955,0.29364845105191356,0.005609904212713027,0.007543848623503865,10,Baseline equal-weight K-Means,
0.297,0.29662298991082614,0.297,0.29503453092077575,0.005961567406388764,0.007902394418602403,42,Baseline equal-weight K-Means,
0.2955,0.2949945171704761,0.2955,0.29350966156754504,0.005520453922284243,0.007423436728665693,100,Baseline equal-weight K-Means,
0.2985,0.2983671028115222,0.2985,0.29557867049703057,0.006834050783514811,0.009012332887818063,999,Baseline equal-weight K-Means,
0.4415,0.4244199972178334,0.4415,0.4280125968939672,0.1762028702776657,0.2103283507999882,0,Correct lift-weighted K-Means,
0.4415,0.4244305824620681,0.4415,0.4280165455347098,0.1757626453482558,0.2097907199818949,10,Correct lift-weighted K-Means,
0.4425,0.42519273492238857,0.4425,0.4286356522570752,0.17778584568002873,0.21160473563834753,42,Correct lift-weighted K-Means,
0.4425,0.42535419565009075,0.4425,0.4288361530943141,0.17718510806518764,0.21123353611192738,100,Correct lift-weighted K-Means,
0.4425,0.42545419082842695,0.4425,0.4288774645698765,0.17772457486888105,0.21172605279995155,999,Correct lift-weighted K-Means,
0.282,0.28186172172339796,0.28200000000000003,0.2818966766842238,0.0015882861248399987,0.003241432532824255,0,Randomly reassigned lift weights,0.0
0.282,0.28186172172339796,0.28200000000000003,0.2818966766842238,0.0015882861248399987,0.003241432532824255,10,Randomly reassigned lift weights,0.0
0.282,0.28186172172339796,0.28200000000000003,0.2818966766842238,0.0015882861248399987,0.003241432532824255,42,Randomly reassigned lift weights,0.0
0.282,0.28186172172339796,0.28200000000000003,0.2818966766842238,0.0015882861248399987,0.0032414325328242555,100,Randomly reassigned lift weights,0.0
0.282,0.28186172172339796,0.28200000000000003,0.2818966766842238,0.0015882861248399987,0.003241432532824255,999,Randomly reassigned lift weights,0.0
0.2645,0.26450378250297757,0.2645,0.2644766427549121,-0.0002555804294122577,0.0013556340866433577,0,Randomly reassigned lift weights,1.0
0.2645,0.26450378250297757,0.2645,0.2644766427549121,-0.0002555804294122577,0.0013556340866433577,10,Randomly reassigned lift weights,1.0
0.2645,0.26450378250297757,0.2645,0.2644766427549121,-0.0002555804294122577,0.0013556340866433577,42,Randomly reassigned lift weights,1.0
0.2645,0.26450378250297757,0.2645,0.2644766427549121,-0.0002555804294122577,0.0013556340866433577,100,Randomly reassigned lift weights,1.0
0.2645,0.26450378250297757,0.2645,0.2644766427549121,-0.0002555804294122577,0.0013556340866433577,999,Randomly reassigned lift weights,1.0
0.2655,0.26554207357434917,0.2655,0.2653715419665304,-0.00040194134397023734,0.00120881633914981,0,Randomly reassigned lift weights,2.0
0.2655,0.26554207357434917,0.2655,0.2653715419665304,-0.00040194134397023734,0.00120881633914981,10,Randomly reassigned lift weights,2.0
0.2655,0.26554207357434917,0.2655,0.2653715419665304,-0.00040194134397023734,0.00120881633914981,42,Randomly reassigned lift weights,2.0
0.2655,0.26554207357434917,0.2655,0.2653715419665304,-0.00040194134397023734,0.00120881633914981,100,Randomly reassigned lift weights,2.0
0.2655,0.26554207357434917,0.2655,0.2653715419665304,-0.00040194134397023734,0.00120881633914981,999,Randomly reassigned lift weights,2.0
0.5555,0.5507577408403832,0.5555,0.5523617572678092,0.27389524172652807,0.3639293453770176,0,Randomly reassigned lift weights,3.0
0.5555,0.5507577408403832,0.5555,0.5523617572678092,0.27389524172652807,0.3639293453770176,10,Randomly reassigned lift weights,3.0
0.5555,0.5507577408403832,0.5555,0.5523617572678092,0.27389524172652807,0.3639293453770176,42,Randomly reassigned lift weights,3.0
0.556,0.5516804919630134,0.556,0.5531744687891633,0.27339278659488453,0.3638644783767963,100,Randomly reassigned lift weights,3.0
0.5555,0.5511242515834573,0.5555,0.5526338883204076,0.2734103704395291,0.3639612545961937,999,Randomly reassigned lift weights,3.0
0.2735,0.2727524511006457,0.27349999999999997,0.2695405144806356,0.0005915461806882072,0.002217250538283236,0,Randomly reassigned lift weights,4.0
0.272,0.2711265137903446,0.272,0.26813908438553913,0.0005017129895909443,0.002104063279686935,10,Randomly reassigned lift weights,4.0
0.274,0.27358512855658385,0.274,0.27006027439576286,0.0005098096528247724,0.002127346677327106,42,Randomly reassigned lift weights,4.0
0.273,0.2722087135074306,0.273,0.26902336191900944,0.000592838507137234,0.0022318881211419676,100,Randomly reassigned lift weights,4.0
0.272,0.2711963489907885,0.272,0.2682136515363867,0.0006294162259360852,0.002265117565477288,999,Randomly reassigned lift weights,4.0
0.2745,0.27448809073138564,0.2745,0.27446708790722874,0.0011096342812192074,0.0028257080540664186,0,Randomly reassigned lift weights,5.0
0.2745,0.27448809073138564,0.2745,0.27446708790722874,0.0011096342812192074,0.0028257080540664186,10,Randomly reassigned lift weights,5.0
0.2745,0.27448809073138564,0.2745,0.27446708790722874,0.0011096342812192074,0.0028257080540664186,42,Randomly reassigned lift weights,5.0
0.2745,0.27448809073138564,0.2745,0.27446708790722874,0.0011096342812192074,0.0028257080540664186,100,Randomly reassigned lift weights,5.0
0.2745,0.27448809073138564,0.2745,0.27446708790722874,0.0011096342812192074,0.0028257080540664186,999,Randomly reassigned lift weights,5.0
0.261,0.26080394303041055,0.261,0.2608462023251751,-0.0002920162682669617,0.0013195813472804139,0,Randomly reassigned lift weights,6.0
0.261,0.26079411258144436,0.261,0.2608456556660259,-0.0002833783379630211,0.0013287368339054508,10,Randomly reassigned lift weights,6.0
0.261,0.2610767969839398,0.261,0.2609882721435772,-0.0002833783379630211,0.0013287368339054508,42,Randomly reassigned lift weights,6.0
0.261,0.26080394303041055,0.261,0.2608462023251751,-0.0002920162682669617,0.0013195813472804139,100,Randomly reassigned lift weights,6.0
0.261,0.26080394303041055,0.261,0.2608462023251751,-0.0002920162682669617,0.0013195813472804139,999,Randomly reassigned lift weights,6.0
0.2675,0.2670486679609803,0.2675,0.26720014430926636,0.0006211759621908967,0.002271562149273422,0,Randomly reassigned lift weights,7.0
0.268,0.26752753450334077,0.268,0.267687041454037,0.0006251909846804551,0.002274720325530292,10,Randomly reassigned lift weights,7.0
0.268,0.26751400918669477,0.268,0.2676713473157874,0.0006612681225129067,0.0023089431599434074,42,Randomly reassigned lift weights,7.0
0.267,0.2665802421171536,0.267,0.2667179956571139,0.0006325145635907333,0.0022885561926971284,100,Randomly reassigned lift weights,7.0
0.271,0.2707571328613232,0.271,0.27082314952363096,0.00046956382536910075,0.002160290951078525,999,Randomly reassigned lift weights,7.0
0.273,0.2727994464842997,0.273,0.27269612147026345,4.8079628684750125e-05,0.001662961017786444,0,Randomly reassigned lift weights,8.0
0.27,0.26980578552987455,0.27,0.2696775975491663,-0.00016783208559512967,0.0014466759816947783,10,Randomly reassigned lift weights,8.0
0.2705,0.2703370730336975,0.2705,0.2701974828543376,-0.0001238513908038552,0.001496587527835761,42,Randomly reassigned lift weights,8.0
0.2705,0.270324201946259,0.2705,0.2701813299686723,-0.00017312734942930813,0.00143931379161419,100,Randomly reassigned lift weights,8.0
0.2705,0.270324201946259,0.2705,0.2701813299686723,-0.00017312734942930813,0.00143931379161419,999,Randomly reassigned lift weights,8.0
0.464,0.4634217289582243,0.464,0.46363526995583243,0.21623391957070998,0.3014368612894028,0,Randomly reassigned lift weights,9.0
0.4655,0.4639782011099348,0.4655,0.46457138591033337,0.21503154757734982,0.2966454051309654,10,Randomly reassigned lift weights,9.0
0.456,0.4540339266574116,0.456,0.4546517775917526,0.23245614083669922,0.32919638781146005,42,Randomly reassigned lift weights,9.0
0.464,0.4634217289582243,0.464,0.46363526995583243,0.21623391957070998,0.3014368612894028,100,Randomly reassigned lift weights,9.0
0.469,0.4696972312618361,0.469,0.4690392014640482,0.23450327478638403,0.3313037919807711,999,Randomly reassigned lift weights,9.0
