feature,svm_importance_mean,svm_importance_std,lift_sum,lift_weight,svm_norm,lift_norm,is_binary
ram,0.688,0.024370405549901435,295.3369489640489,3.0,1.0,1.0,False
battery_power,0.21550000000000002,0.015657798908744053,3.142712682297263,1.0212822181127077,0.31322674418604657,0.010641109056353876,False
px_width,0.12333333333333334,0.015496415356103776,10.021601540283335,1.067865545272517,0.17926356589147288,0.03393277263625845,False
px_height,0.10991666666666666,0.014295735572385055,54.23122509229306,1.3672498499257848,0.1597625968992248,0.1836249249628924,False
mobile_wt,0.013083333333333325,0.0051914727090575105,5.102559214309162,1.0345541540413914,0.019016472868217043,0.01727707702069575,False
int_memory,0.0008333333333333008,0.0019720265943665356,3.03337223604934,1.0205417726883783,0.001211240310077472,0.010270886344189158,False
pc,0.0004999999999999894,0.0009999999999999788,13.990090356419193,1.0947398583583403,0.0007267441860464962,0.047369929179170184,False
blue,0.0,0.0,43.77695571247841,1.2964543100078367,0.0,0.1482271550039184,True
dual_sim,0.0,0.0,51.28237550122871,1.3472804583450293,0.0,0.17364022917251465,True
clock_speed,0.0,0.0,8.322287415669601,1.0563579155595777,0.0,0.028178957779788898,False
m_dep,0.0,0.0,5.1428045037026875,1.0348266921679936,0.0,0.017413346083996816,False
four_g,0.0,0.0,118.57355911795487,1.8029713825775908,0.0,0.40148569128879547,True
three_g,0.0,0.0,259.74851710166865,2.7589977685676415,0.0,0.8794988842838206,True
fc,0.0,0.0,193.0949761825122,2.3076249135763742,0.0,0.653812456788187,False
sc_h,0.0,0.0,2.01558884390203,1.013649418746771,0.0,0.006824709373385537,False
sc_w,0.0,0.0,40.80536190432485,1.2763308962692106,0.0,0.13816544813460524,False
wifi,0.0,0.0,37.68695306783636,1.2552132620048428,0.0,0.12760663100242145,True
touch_screen,0.0,0.0,43.06015248925994,1.2916001715349312,0.0,0.14580008576746561,True
n_cores,-0.001000000000000023,0.0012247448713916173,3.0580473311930714,1.0207088706097882,-0.0014534883720930568,0.010354435304894157,False
talk_time,-0.0018333333333333756,0.001105541596785159,3.0127587333957644,1.0204021795712566,-0.002664728682170604,0.010201089785628229,False
