feature,svm_importance_mean,svm_importance_std
ram,0.688,0.024370405549901435
battery_power,0.21550000000000002,0.015657798908744053
px_width,0.12333333333333334,0.015496415356103776
px_height,0.10991666666666666,0.014295735572385055
mobile_wt,0.013083333333333325,0.0051914727090575105
int_memory,0.0008333333333333008,0.0019720265943665356
pc,0.0004999999999999894,0.0009999999999999788
blue,0.0,0.0
dual_sim,0.0,0.0
clock_speed,0.0,0.0
m_dep,0.0,0.0
four_g,0.0,0.0
three_g,0.0,0.0
fc,0.0,0.0
sc_h,0.0,0.0
sc_w,0.0,0.0
wifi,0.0,0.0
touch_screen,0.0,0.0
n_cores,-0.001000000000000023,0.0012247448713916173
talk_time,-0.0018333333333333756,0.001105541596785159
